Andre, Peter			Mysterious Girl
Artze, Die			3-Tage-Bart
Artze, Die			Ein Song Namens Schunder
Artze, Die			Friedenspanzer
Artze, Die			Hurra
Artze, Die			Schrei Nach Liebe
Bap				Nix Wie Besser
Bap				Verdammt Lang Her
Black Foos			Baby I Love You
Black Foos			Bye Bye My Love
Blue System			Deja Vu
Blue System			Magic Symphony
Bohlen, D			My Bed Is Too Big
Cagey Strings			Das Muss Ein Wunder Sein
Carpendale, Howard		Deine Spuren Im Sand
Carpendale, Howard		Du Bist Die Antwort Fur Mich
Carpendale, Howard		Hello Again
Carpendale, Howard		Hey Versuch's Noch Mal Mit Dir
Carpendale, Howard		Kein Typ Fur Eine Nacht
Carpendale, Howard		Mit Viel Viel Herz
Carpendale, Howard		Nachts Wenn Alles Schlaft
Carpendale, Howard		Niemals
Carpendale, Howard		One More Dance In Blue
Carpendale, Howard		Schade
Carpendale, Howard		Ti Amo
Carpendale, Howard		Willkommen Auf Der Titanic
Carriere			Michelle
Chypnotic			I Can't Get Enough
Cinematic & Heinz Ruhman	Ein Guter Freund
Clown und Helden		Ich Liebe Dich
Codo				Und Ich Duse Im Sauseschrift
Cornelius, Peter		Reif Fur Die Insel
Daniel				Der Sommer Als Jenny Sich Verliebte
Davis, Danny			Ganz Oder Gar Nicht
Deutcher, Drafi			Drafi Deutcher Medley
Deutcher, Drafi			Herz An Herz Gefuhl
Deutcher, Drafi			Marmor Stein Und Eisen Bricht
Deutcher, Drafi			Shake Hands
Dolls United			Blechbuchse Roll
Dolls United			Ein Insel Mit Zwei Bergen
Drews, Jurgen			Ein Bett In Kornfeld
Drews, Jurgen			Jurgen Drews Medley
Drews, Jurgen			Warum Immer Ich
Drudi, G			Fiky Fiky
Elsholz, Andreas		Summertime (Lass' Es Immer Sommer Sein)
Erste Allgemeine Verunsicherung	300 PS (Auto)
Erste Allgemeine Verunsicherung	An Der Copacabana
Erste Allgemeine Verunsicherung	Die Ufo's Kommen
Erste Allgemeine Verunsicherung	Ding Dong
Erste Allgemeine Verunsicherung	EAV Medley
Erste Allgemeine Verunsicherung	Eiener (Pfurz) Geht Um Die Welt
Erste Allgemeine Verunsicherung	Einmal Mucht' Ich Ein Boser Sein
Erste Allgemeine Verunsicherung	Es Fahrt Kein Zug Nach Eierbach
Erste Allgemeine Verunsicherung	Fata Morgana
Erste Allgemeine Verunsicherung	Heisse Nachte In Palermo
Erste Allgemeine Verunsicherung	Jamboo
Erste Allgemeine Verunsicherung	Kuss' Die Hand Schone Frau
Erste Allgemeine Verunsicherung	Marchenprinz
Erste Allgemeine Verunsicherung	Samurai
Erste Allgemeine Verunsicherung	Wurstlstand
Falco				Der Kommissar
Falco				Rock Me Amadeus
Fendrich, Reinhardt		Macho Macho
Fendrich, Reinhardt		Midlife Crisis
Fendrich, Reinhardt		Oben Ohne
Fendrich, Reinhardt		Ski Foarm
Fettes Brot			Jein
Foeman				Moon Revenge
Gruhnemeyer, Herbert		Alkohol
Gruhnemeyer, Herbert		Halt Mich
Gwen				Wie Den Wind
Haindling			Danke
Hallervorden, Didi		Der Schweine Tango
Hallervorden, Didi		Die Wanne Ist Voll
Honesty 69			French Kiss
Illegal 2001			Alles Aus Liebe
Illegal 2001			Einmal Um Die Erde
Inner Kneipe			Eins Zwei Sauferei
Jordan, Marlo			Welch Ei Tag
Kerkeling, Hape			Hurz!
Krebs, Diether			Ich Bin Der Martin
Kunze, Heinz Rudolf		Dein Ist Mein Ganzes Herz
Kunze, Heinz Rudolf		Einfacher Mann
Lage Band, Klaus		1000 Und Ein Nacht
Laurens, Rose			Africa (Voodoo Master)
Lindenberg, Udo			Alles Klar Auf Der Andrea Doria
Lindenberg, Udo			Club Der Millionaire
Lindenberg, Udo			Ein Herz Kann Man Nicht Reparieren
Lindenberg, Udo			Horizont
Lindenberg, Udo			Ich Lieb Dich Uberhaupt Nicht Mehr
Lindenberg, Udo			Nana M
