Adam & Eve			Wenn Die Sonne Erwacht In Den Bergen
Albers, Hans			Auf Der Reeperbahn Nachts Um Halb Eins
Albers, Hans			Fliegerlied
Alexander, Peter		Hier Ist Ein Mensch
Alexander, Peter		Peter Alexander Medley
Ambros, Wolfgang		Schifoarn (Ski Fahr'n)
Ambros, Wolfgang		Zwickts Me
Anderson, G G			Am Weissen Strand Von St. Angelo
Anderson, G G			Amigo
Anderson, G G			Capri Fisher
Anderson, G G			Engel Von Valparaiso
Anderson, G G			Gitarren Klingen Leise Durch Die Nacht
Anderson, G G			Ich Bin So True Wie Gold
Anderson, G G			Ich Bin Verliebt In Dich
Anderson, G G			Ich Bin Verruckt Nach Dir
Anderson, G G			Ich Lieb Dich Jeden Tag Ein Bisschen Mehr
Anderson, G G			Jamaika Girl
Anderson, G G			Lady Sunshine
Anderson, G G			Madchen Madchen
Anderson, G G			Rosalie
Anderson, G G			Sommernacht In Rom
Anderson, G G			Sonnenschein Im Blut
Anderson, G G			Ti Amo Maria
Anderson, G G			Vaya Con Dios
Anderson, G G			Weisse Rosen Schenk Ich Dir
Anderson, Lale			Es Geht Alles Voruber
Anderson, Lale			Wo Die Nordseewellen
Andrea & Gunther		Tulpen Aus Amsterdam
Aniko				Lasst Uns Froh Und Munter Sein
Arland, Henry			Rosenmelodie
Astor, Tom			Glocken Der Liebe
Astor, Tom			Hallo Guten Morgen Deutschland
Astor, Tom			Hungrige Herzen
Astor, Tom			Junger Adler
Astor, Tom			Kleiner Rebel
Astor, Tom			Wer Liebe Sucht
Babaloo				Babaloo Potpourri Nr. 01 (Medley)
Babaloo				Babaloo Potpourri Nr. 02 (Medley)
Babaloo				Babaloo Potpourri Nr. 03 (Medley)
Babaloo				Babaloo Potpourri Nr. 04 (Medley)
Babaloo				Babaloo Potpourri Nr. 05 (Medley)
Babaloo				Babaloo Potpourri Nr. 06 (Medley)
Babaloo				Babaloo Potpourri Nr. 07 (Medley)
Babaloo				Babaloo Potpourri Nr. 08 (Medley)
Babaloo				Babaloo Potpourri Nr. 09 (Medley)
