101 Strings			"Theme From ""The Godfather"""
Adams, Bryan, Rod Stewart\Sting	"All For Love (From "The Three Musketeers")
Ball, Michael			Love Changes Everything
Barry, John (Dances With Wolves)Farewell & End Tittle
Barry, John (Dances With Wolves)Journey To Fort Sedgewick
Barry, John (Dances With Wolves)Kicking Bird's Gift
Barry, John (Dances With Wolves)Looks Like A Suicide (Main Tittle)
Barry, John (Dances With Wolves)Rescue Of Dances With Wolves
Barry, John (Dances With Wolves)The Buffalo Hunt
Barry, John (Dances With Wolves)The Death Of Cisco
Barry, John (Dances With Wolves)The John Dunbar Theme
Barry, John (Dances With Wolves)The Love Theme
Barry, John (Dances With Wolves)Two Socks - The Wolf Theme
Barry, John (Dances With Wolves)Two Socks At Play
Belle, Regina & Peabo Bryson	"A Whole New World (Theme From ""Aladdin"")
Berlin				"Take My Breath Away (From ""Top Gun"")"
Bernstein, Leonard		"Somewhere (From ""The West Side Story"")"
Bernstein, Leonard		West Side Story Medley
Bishop, Stephen			"It Might Be You (Theme From ""Tootsie"")
Blue Haze			"Smoke Gets In Your Eyes (From ""Roberta"")
Boray, Lisa & Louis De Vries	"Thema T.V. ("Goede Tijden Slechte Tijden")
Borell, J.C.			Dolanes Melodie
Brothers Four, The		"Try To Remember (From ""The Fantastics"")"
Buttler, Jerry			Moon River
Cara, Irene			Fame
Cara, Irene			Flashdance (What A Feeling)
Cliff, Jimmy			"Hakuna Matata (From ""The Lion King"")"
Clooney, Rosemary		"Could Have Dance All Night ("My Fair Lady")
Computer Games Muziek		Do Do Do Do Do
Computer Games Muziek		Police Quest
Computer Games Muziek		Twilight Zone 1
Computer Games Muziek		Twilight Zone 2
Computer Games Muziek		Twilight Zone 3
Computer Games Muziek		Twilight Zone 4
Covington, Julie		"Don't Cry For Me Argentina (From ""Evita"")
Cronemeyer Singer, Dave		"Fiddler On The Roof (From ""Anatevka"")"
Davis, John			Beverly Hills 90210
Denver, John			Annie's Song
Disney, Walt			"A Whole New World (Theme From ""Aladdin"")
Disney, Walt			"Can You Feel The Love Tonight ("Lion King")
Disney, Walt			"Circle Of Life (From""The Lion King"")"
Disney, Walt			"Hakuna Matata (From ""The Lion King"")"
Disney, Walt			It's A Small World
Disney, Walt			Jungle Boo
Disney, Walt			"Mainstreet Electrical Parade Theme (Disney)
Disney, Walt			Mickey Mouse
Disney, Walt			"Theme From ""Beauty And The Beast"""
Disney, Walt			"Theme From ""Roger Rabbit"""
Disney, Walt			"Under The Sea (From ""The Little Mermaid"")
Disney, Walt			"Whistle While You Work (From "Snow White")
Doldinger Orchester, Klaus	"Theme From ""Das Boot"""
Dunnegan, Ralph & His All Stars	"Wunderbar (From ""Kiss Me Kate"")
Film, T.V. Musical & Broadway	04Dastod
Film, T.V. Musical & Broadway	08Totent
Film, T.V. Musical & Broadway	76 Trombones
Film, T.V. Musical & Broadway	Action 
Film, T.V. Musical & Broadway	"All The Things You Are ("Very Warm For May")
Film, T.V. Musical & Broadway	"America (From ""Hair"")"
Film, T.V. Musical & Broadway	"Angela (From ""Taxi"")"
Film, T.V. Musical & Broadway	Anything Goes
Film, T.V. Musical & Broadway	"Batdance (From ""Batman"")"
Film, T.V. Musical & Broadway	"Beauty School Drop Out (From ""Grease"")"
Film, T.V. Musical & Broadway	"Before The Parade Passes By ("Hello Dolly")
Film, T.V. Musical & Broadway	"Bossom Buddies (From ""Mame"")"
Film, T.V. Musical & Broadway	"Bring Him Home (From ""Les Miserables"")"
Film, T.V. Musical & Broadway	"Brotherhood Of Man ("Succeed In Business")
Film, T.V. Musical & Broadway	"Cinderella Darling ("Succeed In Business")
Film, T.V. Musical & Broadway	Classic (Film Intro)
Film, T.V. Musical & Broadway	"Climb Ev'ry Mountain ("The Sound Of Music")
Film, T.V. Musical & Broadway	"Dancing (From ""Hello Dolly"")"
Film, T.V. Musical & Broadway	"Don't Cry (From ""The Most Happy Fella"")"
Film, T.V. Musical & Broadway	"Don't Like Goodbyes ("House Of The Flowers")
Film, T.V. Musical & Broadway	"Do-Re-Mi-(From ""The Sound Of Music"")"
