Adamo				Es Geht Ein Trane Auf Reisen
Aufray, Hugues			Celine
Aznavour, Charles		Ma Vie
Aznavour, Charles		Mes Emmerdes
Aznavour, Charles		Venise
Barriere, Alain			Tu T'en Vas
Becaud, Gilbert			Et Maintenant
Becaud, Gilbert			Important C'est La Rose
Berger, Michel			Diego Libre Dans Sa Tete
Birkin, Jane & Serge Gainsbourg	Di Dooh Dah
Birkin, Jane & Serge Gainsbourg	Fuir Le Bonheur De Peur
Birkin, Jane & Serge Gainsbourg	Je T'aime Moi Non Plus
Brassens, Georges		Chanson Pour L'auvergnat
Brassens, Georges		Le Petit Cheval
Bruel, Patrick			J'te L'dis Quand Meme
Byrne, David			Le Denier Empereur
Cabrel, Francis			Encore Et Encore
Cabrel, Francis			L'encre De Tes Yeux
Cabrel, Francis			Petite Mary
Cabrel, Francis			Quelqu'un De L'interieur
Cabrel, Francis			Question D'equilibre
Cabrel, Francis			Repondez Moi
Cabrel, Francis			Si Tu La Croises Un Jour
Carriere			Michelle
Charlebois, Robert		Conception
Christoff			Les Mots Blue
Clerc, Julien			Fais Moi Une Place
Clerc, Julien			Femmes Je Vous Aime
Clerc, Julien			Ma Preference
Clerc, Julien			Partir
Danyel, Gerard			Butterfly
Dassin, Joe			Changer Le Monde
Delpech, Michel			Pour Un Flirt
Du Splendid			La Salsa Du Demont
Elsa				Quelque Chose Dans Mon Coeur
Farmer, Mylene			Pourvu Qu'elles Soient Douces
Farmer, Mylene			Sans Contrefacon
Ferrez, Nino			C'est Extra
Forestier, Maxime Le		Mon Frere
Forestier, Maxime Le		Petit Robot
Francois, Cloude		Donna Donna
Francois, Cloude		Le Lundi Au Soleil
Francois, Cloude		Magnolia
Francois, Cloude		Y'a Le Printemps Qui Chante
Franse Accordion Tune		Cafe
Franse Accordion Tune		Musette
Gall, France			Ella Elle L'a
Gall, France			Si Maman Si
Gold				Plus Press Des Etoiles
Goldman, Jean Jaques		La Bas
Halliday, Johnny		Diego Libre
Halliday, Johnny		Retiens La Nuit
Halliday, Johnny		Toute La Musique
Huet, Pierre & Michel Rivard	Ginette
Huet, Pierre & Michel Rivard	Le Blues D'la Metropole
Humphries Singers, Les		Mama Lou
Humphries Singers, Les		Mexico
Jaques, Dutronc			Les Cactus
Jonasz, Michel			La Boite De Jazz
Jonasz, Michel			Mister Swing
Larochelliere, Luc De		Cash City
Larochelliere, Luc De		Sauvez Mon Me
Lavil, Phillippe		Il Tape Sur Des Bambous
Lavoie, Daniel			Il's S'aiment
Lavoie, Daniel			Tention Attention
Leger, Robert			Tous Les Palmiers
Mantovani & His Orchestra	La Mer
Maurane				Toutes Las Mamma's
Mitchel, Eddy			Je Me Sens Mieux
Mitchel, Eddy			La Voix D' Elvis
Mitchel, Eddy			Menthe A L'eau
Nougarro, Claude		Nougayork
Onbekende (Chanson)		Becassine
Onbekende (Chanson)		C'est Bon Que Tu Sois La
Onbekende (Chanson)		Ceux Que L'amour A Blesses
Onbekende (Chanson)		Et Puis
Onbekende (Chanson)		Je Ne Peux Plus Dire Je T'aime
Onbekende (Chanson)		Je Suis Un Voyou
Onbekende (Chanson)		Joli Mome
Onbekende (Chanson)		La Chanson De Prevert
Onbekende (Chanson)		La Maman D'amandine
Onbekende (Chanson)		Les Yeux Ouverts
Onbekende (Chanson)		Poil Dans La Main
Onbekende (Chanson)		Samba Triste
Onbekende (Chanson)		Un Homme Heureux
Pagny, Florent			Laissez Nous Respirer
Piaf, Edith			Sous Le Siel De Paris
Plamondon, Luc			En Ecountant Elton John
Plamondon, Luc			J'ai Besoin De Parler
Plamondon, Luc			J'ai Douze Ans
Plamondon, Luc			Je T'aime Come On Fou
Plamondon, Luc			Le Blues Du Businessman
Plamondon, Luc			On Fait Tous Du Show Business
Quinn, Richard S		Aux Portes Du Matin
Richard, Antony			Donnez Moi Ma Change
Rivard, Michel			La Complainte Du Phoque En Alaska
Salvador, Henry			Petit Lapin
Sanson, Veronique		Chanson Sur Na Drole De Vie
Sanson, Veronique		Ma Reverence
Sanson, Veronique		Visiteur Et Voyageur
Shorts, The			Comment Ca Va
Toussaint, Olivier		Dolannes Melodie
Toussaint, Olivier		L'enfant Et La Mer
Valiquette, Gilles		Je Suis Cool (Asteur)
Valiquette, Gilles		La Vie En Rose
