999				Technotrib
2 Boys				I Won't Let Your Down
2 Brothers On The 4th Floor	Dreams
2 Brothers On The 4th Floor	Fly
2 Brothers On The 4th Floor	Let Me Be Free
2 Brothers On The 4th Floor	Never Alone
2 Unlimited			Faces
2 Unlimited			Here I Go
2 Unlimited			Let The Beat Control
2 Unlimited			Maximum Overdrive
2 Unlimited			No Limit
2 Unlimited			No Limit (Extended Version)
2 Unlimited			No One
2 Unlimited			The Real Thing
2 Unlimited			Tribal Dance
2 Unlimited			Twilight Zone
2 Unlimited			Workaholic
20 Fingers & Roula		Lick It
20 Fingers & Roula		Short Dick Man
3 Musketiers, De		Het Moet Niet Gekker Worden
808 State			Pacific 202
Ace Of Base			All That She Wants
Ace Of Base			Beautiful Life
Ace Of Base			Don't Turn Around
Ace Of Base			Happy Nation
Ace Of Base			Living In Danger
Ace Of Base			Lucky Love
Ace Of Base			The Sign
Ace Of Base			Wheels Of Fortune
B 52's				Love Shack
B 52's				Meet The Flinstones
B.G. The Prince Of Rap		The Colour Of My Dream
Beck				Loser
Black Box			Everybody Everybody
Black Box			Ride On Time
Blumchen			Herz An Herz
Blumchen			Kleiner Satallit
Bobo D.J.			Everybody
Bobo D.J.			Freedom
Bobo D.J.			Let The Dream Come True
Bobo D.J.			Love Is All Around
Bobo D.J.			Love Is The Price
Bobo D.J.			Pray
Bobo D.J.			Somebody Dance With Me
Bobo D.J.			Take Control
Bobo D.J.			There's A Party
Booming Support			Rode Schoentjes
Bouche, La			Be My Lover
Bouche, La			Falling In Love
Bouche, La			Sweet Dreams
Bravo				Bravo Megamix Medley
C & C Music Factory		Gonna Make You Sweat
Cameo				Back & Forth
Cameo				Word Up
Capella				Move It Up
Capella				Move On Baby
Capella				U Got 2 Let The Music
Capella				You And Me
Captain Hollywood Project	Find Another Day
Captain Hollywood Project	Flying High
Captain Hollywood Project	Impossible
Captain Hollywood Project	More And More
Captain Hollywood Project	Only With You
Captain Jack			Captain Jack
Captain Jack			Drill Instructor
Captain Jack			Little Boy
Captain Jack			Soldier Soldier
Centory & Turbo B.		Take It To The Limit
Centory & Turbo B.		The Spirit
Corona				Baby Baby
Corona				The Rhythm Of The Night
Cosmix & Ernie			Quietsche Entchen
Culture Beat			Anything
Culture Beat			Crying In The Rain
Culture Beat			Got To Get It
Culture Beat			Inside Out
Culture Beat			Mr. Vain
Culture Beat			World In Your Hands
Dance 2 Trance			Power Of American Natives
Dingetje			Kaplaarzen
Doop				Doop
Doop				Riding
Double Vision			Knockin'
Dr. Alban			Away From Home
Dr. Alban			Hello Africa
Dr. Alban			It's My Life
Dr. Alban			Look Who's Talking
Dr. Alban			Sing Hallelujah
Dune				Hand In Hand
Dune				Hardcore Vibes
Dune				I Can't Stop Raving
E-Rotic				Fred Come To Bed
E-Rotic				Fritz Love My Tits
E-Rotic				Max Don't Have Sex With Your Ex
E-Rotic				Sex On The Phone
E-Type				This Is The Way
Elstak, D.J. Paul		Rainbow
Elstak, D.J. Paul		Rave On
Elstak, D.J. Paul		The Promised Land
Faithless			Insomniac
Fun Factory			Celebration
Fun Factory			Close To You
Fun Factory			Don't Go Away
Fun Factory			Doo Wah Diddy Diddy
Fun Factory			I Wanna Be With You
Garnefski, Ferry		Doop (Ragtime Version)
General Base			Base Of Love
Gina G.				Ooh Ahh Just A Little Bit
Good Shape			Take My Love
Haddaway			Catch A Fire
Haddaway			Fly Away
Haddaway			Life
Haddaway			Rock My Heart
Haddaway			What Is Love
Hakkuhbar			Gabbertje
Hartinger, Stefan		Your Eyes
Hegglun, Christian		And Now Technobarn
Hermes House Band		I Will Survive
Ice M.C.			Easy
Ice M.C.			It's A Rainy Day
Ice M.C.			Think About The Way
Inner City			Good Life
Inner City			Whatcha Gonna Do With My Lovin'
Inner Kneipe			Eins Zwei Sauferei
Interactive			Forever Young
Intermission & Lori Lori	Six Days
Jam & Spoon			Right In The Night (Fall In Love With Music)
Jeff, Jazzy & Fresh Prince	Summertime
Jones, Lavinia			Sing It To You
K.L.F, The			Justified & Ancient
K.L.F, The			What Time Is Love
K2				Der Berg Ruft
K2				Die Nachtigall Singt
K7				Come Baby Come
Kadoc				The Night Train
Kruger, Andre			Take A Wild Guess
Lewis, C.J.			Sweats For My Sweet
Loft				Love Is Magic
Love Message			Love Message
Lownoise, Charly & Mental Theo	Stars
Magic Affair			Fire
Magic Affair			Give Me All Your Love
Magic Affair			In The Middle Of The Night
Magic Affair			Omen III
Mark Oh				Droste Horst Du Mich
Mark Oh				Love Song
Mark Oh				Tears Don't Lie
Marusha				Deep
Marusha				It Takes Me Away
Marusha				Somewhere Over The Rainbow
Masterboy			Feel The Heat Of The Night
Masterboy			I Got To Give Up
Masterboy			Land Of Dreaming
Maxx				Get Away
Maxx				No More (I Can't Stand It)
Mighty Dub Kats			Magic Carpet Ride
Mo Do				Eins Zwei Polizei
Mo Do				Super Gut
Moeskroen, Pater		Roodkapje
Mudul, Das			Computer Liebe
Mudul, Das			Kleine Maus
Music Instructor		Hymn
N-Trance			Stayin' Alive
Nachroave, De			Polonaise
Nachroave, De			Sjeng Oan De Geng (Hoempa House Mix)
Nakatomi			Children Of The Night
Name Of The Rose		Sea Of Love
