883				Il'anno Ucciso L'uomo Ragno
Alice				Una Notte Speciale
Andre, F De			Bocca Di Rosa
Andre, F De			Il Pescatore
Angelo, Nino De			Jenseits Von Eden
Anni '60 Song (60er Jaren Song)	Cuore Matto
Anni '60 Song (60er Jaren Song)	Ho In Mente Te
Anni '60 Song (60er Jaren Song)	La Bambolina
Anni '60 Song (60er Jaren Song)	Nessuno Mi Puo Giudicare
Anni '60 Song (60er Jaren Song)	Sognando La California
Anni '60 Song (60er Jaren Song)	Vorrei La Pelle Nera
Baglioni, Claudio		1000 Giorni Di Te E Di Mi
Baglioni, Claudio		Amore Bello
Baglioni, Claudio		E Tu Come Stai
Baglioni, Claudio		Fotografie
Baglioni, Claudio		Questo Piccolo Grande Amore
Ballo Liscio Song		Balcone Chiuso
Ballo Liscio Song		Battagliero
Ballo Liscio Song		Bella Sportive
Ballo Liscio Song		Gelosia
Ballo Liscio Song		Il Bel Danubio Blue
Ballo Liscio Song		Il Tango Delle Capinere
Ballo Liscio Song		In Bocca Al Lupo
Ballo Liscio Song		La Sfida Dei Clarini
Ballo Liscio Song		Mazurca Di Migliavacca
Ballo Liscio Song		Meraviglioso
Ballo Liscio Song		Nanni
Ballo Liscio Song		Non C'e'pace Tra Gli Ulivi
Ballo Liscio Song		Romagna
Ballo Liscio Song		Tutto Pepe
Barretto, Ray			Roberta
Baston & Ritchie		Senza Una Donna
Battisti, Lucio			Acqua Azzurra
Battisti, Lucio			La Canzone In Mente
Battisti, Lucio			Mi Ritorni In Mente
Battisti, Lucio			Nessun Dolore
Bazar, Matia			Solo Tu
Benato, E			E'asciuto Pazzo U Padrone
Bino				Mama Leone
Bocelli, Andrea			Con Ti Patiro & Vivere
Bonocore, N			Il Mandorla
Branduardi, Angelo		La Pulce D'acqua
Camaleonti			L'ora Dell'amore
Cantautori Italiani Song	Amici Mai
Cantautori Italiani Song	Ci Vuole Un Fisisco Bestiale
Cantautori Italiani Song	Con Il Nastro Rosa
Cantautori Italiani Song	E Mi Arriva Il Mare
Cantautori Italiani Song	E'ancora Vita
Cantautori Italiani Song	Ho Bisogno Di Voi
Cantautori Italiani Song	Ma Che Amico Sei
Cantautori Italiani Song	Quando
Carra, Raffaella		A Far L'amore
Carra, Raffaella		Costa Restera
Celentano, Adriano		Azzurro
Celentano, Adriano		Una Carezza In Un Pugno
Celentano, Adriano		Una Festa Sui Prati
Cocciante, Riccardo		Bella Sen'z Anima
Cocciante, Riccardo		Margherita
Cocciante, Riccardo		Se Stiamo Insieme
Concato, Fabio			Guido
Concato, Fabio			Rosalina
Conidi, A			E Noi Qui
Cotugno, Toto			La Chante Mi Cantare
Dalla, Lucio			4 Marzo 1943
Dalla, Lucio			Anna E Marco
Dalla, Lucio			Attenti Al Lupo
Dalla, Lucio			Balla Balla Ballerino
Dalla, Lucio			Cara
Dalla, Lucio			Caruso
Dalla, Lucio			Disperato Erotico Stomp
Dalla, Lucio			Futura
Dalla, Lucio			Henna
Dalla, Lucio			L'anno Che Verra'
Dalla, Lucio			Piazza Grande
Daniele, Pino			O' Scarrafone
Daniele, Pino			Quando Piove
Dik Dik				L'isola Di White
Dik Dik				Senza Luce
Donaggio, P			Io Che Non Vivo
Donatella			Lailola
Drupi				Piccola E Fragile
Eposto, Tony			Kalimba De Luna
Ferradini, M			Teorema
Fogli, R			Io Ti Prego Di Ascoltare
Fossati, Ivano			La Mia Banda Suona Il Rock
Franchi, Sergio			Anema 'E Core
Franchi, Sergio			Mala Femmena
Graci, B Di			Negativo
Granata, Rocco			Marina
Graziani, I			Lugano Addio
Gregori, Dalia De		Banana Republic
Gregori, Francesco De		Alice
Gregori, Francesco De		Belli Capelli
Gregori, Francesco De		Generale
I Musica Napoletani		O Solo Mio
I Musica Napoletani		Santa Lucia
Italian Pop Song		Abita
Italian Pop Song		Brividi
Italian Pop Song		Gott To Get
Italian Pop Song		Heartbox
Italian Pop Song		Hovoglia
Italian Pop Song		Io Me Ne Andrei
Italian Pop Song		La Bandiere
Italian Pop Song		La Fisarmonica
Italian Pop Song		Mistero
Italian Pop Song		Se Stasera Sono Qui
Italian Pop Song		Siamo Solo
Italian Pop Song		Su E Gui
Italian Pop Song		Una Rotonda Sul Mare
Italian Pop Song		Vedoriso
Italian Revival Song		Alma
Italian Revival Song		Anonimo Veneziano
Italian Revival Song		Champage
Italian Revival Song		Concerto
Italian Revival Song		Diavolo
Italian Revival Song		El La Engano
Italian Revival Song		Figlio Unico
Italian Revival Song		Glialtri Siamo Noi
Italian Revival Song		I Watussi
Italian Revival Song		Il Ballo Di Simone
Italian Revival Song		Il Tuo Bacio E'come Un Rock
Italian Revival Song		La Polacca
Italian Revival Song		L'altra Parte Del Cielo
Italian Revival Song		Luna Capressa
Italian Revival Song		Ma Cumm Aggio A 'Fa
Italian Revival Song		Mascotte
Italian Revival Song		Mazurka
Italian Revival Song		Na Sera E Maggio
Italian Revival Song		Noi Due Del Monde
Italian Revival Song		Non E' Francesca
Italian Revival Song		O Solo Mio
Italian Revival Song		Ogni Volta
Italian Revival Song		Parole
Italian Revival Song		Perche Io Fai
Italian Revival Song		Peter Pan
Italian Revival Song		Pianista Di Piano Bar
Italian Revival Song		Roma' Nun Fa La Stupida
Italian Revival Song		Sapore Di Sale
Italian Revival Song		Saracino
Italian Revival Song		Tanta Voglia Di Lei
Italian Revival Song		Toronasor
