Acoustic Alchemy		The Blue Chip Bop
Anomania			Fun-Q
Anomania			Grand Slam
Anomania			Magic Mirror
Anomania			Megapuls
Anomania			Welcome To Summer Island
Arrested Development		Mr. Wendal
Arrested Development		People Everyday
Average White Band		Pickin' Up The Pieces
Bad Runners			Yebisu
Braun, Gord			Jampact
Brutti, L			Merry Swift
Burgaard, Kim			Funk Knowledge
Butler, Jonathan		Lies
Calloway			I Wanna Be Rich
Captain Sensible		Wot!
Carlton, Larry			Night Crawler
Chic				Chic Cheer
Chic				Chic Mystique
Chic				Good Times
Chic				Le Freak
Christians, The			What's In A Word
Clarke, Stanley			Quiet Afternoon
Commodores			Brick House
Coolio				1, 2, 3, 4, Sumpin' New
Coolio				Gangsta's Paradise
Corea, Chick			Bossa Tranquillo
Corea, Chick			Carnival Or Manha De Carnival
Corea, Chick			Chick Corea Tune 1
Corea, Chick			Chick Corea Tune 2
Corea, Chick			City Gate Rumble
Corea, Chick			Creator
Corea, Chick			E-Street
Corea, Chick			Eternal Child
Corea, Chick			Green Top
Corea, Chick			Hymn Of The Heart
Corea, Chick			Illusion
Corea, Chick			Is Care Of Me
Corea, Chick			Kingkock
Corea, Chick			Light Years
Corea, Chick			Night In Tunesia
Corea, Chick			September Samba
Corea, Chick			Smokescreen
Corea, Chick			Spain
Corea, Chick			The One Step
Corea, Chick			Timetrak
Corea, Chick			Wonder
Crusaders, The			Streetlife
Cure, The			Close To Me
Demus, Chaka			Twist And Shout
Deodato				Also Sprach Zarathustra
Dr. John			Right Place Wrong Time
Dr. John			Such A Night
Duran Duran			Notorious
Emerson, Lake & Palmer		Benny The Bouncer
Emerson, Lake & Palmer		Endless Enigma (Part 2)
Emerson, Lake & Palmer		Fanfare For The Common Man
Emerson, Lake & Palmer		Fugue
Emerson, Lake & Palmer		Hoe Down
Emerson, Lake & Palmer		I Believe In Father Christmas
Emerson, Lake & Palmer		Infinity Space
Emerson, Lake & Palmer		Jeremy Bender
Emerson, Lake & Palmer		Karn Evil 9 (1st Impression Part 1)
Emerson, Lake & Palmer		Mars The Bringer Of War
Emerson, Lake & Palmer		Peter Gunn
Emerson, Lake & Palmer		Pirates
Emerson, Lake & Palmer		Romeo And Juliet
Emerson, Lake & Palmer		Take A Pebble
Emerson, Lake & Palmer		Tarkus
Emerson, Lake & Palmer		The Sage
Emerson, Lake & Palmer		The Score
Emerson, Lake & Palmer		Trilogy
Enigma				Enigma Medley
Enigma				Return To Innocence
Enigma				Sadeness
Enigma				The Eyes Of Truth
Faith No More			I'm Easy
Fantastischen Vier, Die		Popular
Fantastischen Vier, Die		Sie Ist Weg
Fourplay			Between The Sheets
Freakwater			Little Shoes
Gap Band, The			Oops Upside Your Head
Gayle, Crystal			Straight To The Heart
Gill, Johnny			Rub You The Right Way
Go West				King Of Wishful Thinking
Grusin, Dave			Mountain Dance
GTO				Pure Energy
Gumbs, Onaje Allan		Morning Glow (Asayake)
Hammond, Beres			No Crime
Hot Chocolate			Every 1's A Winner
Hot Chocolate			I'll Put You Together Again
Hot Chocolate			It Started With A Kiss
Hot Chocolate			No Doubt About It
Hot Chocolate			You Sexy Thing
Jamiroquai			Too Young To Die
Jarreau, Al			Moonlightning
Jarreau, Al			Mornin' Mr. Radio
Jarreau, Al			Roof Garden
Jarreau, Al			We're In This Love Together
Jones, Howard			Everlasting Love
Jones, Howard			Things Can Only Get Better
Jones, Quincy			I'll Be Good To You
K.C. & The Sunshine Band	I'm Your Boogieman
K.C. & The Sunshine Band	K.C. & The Sunshine Band Medley Nr. 01
K.C. & The Sunshine Band	K.C. & The Sunshine Band Medley Nr. 02
