12 Cellist Of Berlin Philh.	Putting On The Ritz
Adams, George & Orchestra	Take Me Out To The Ballgame
Akyoshi, Toshiko & Orchestra	Turning Up
Alpert, Herb & His Orchestra	A Banda
Alpert, Herb & His Orchestra	A Taste Of Honey
Alpert, Herb & His Orchestra	Herb Alpert Medley 1
Alpert, Herb & His Orchestra	Herb Alpert Medley 2
Alpert, Herb & His Orchestra	So What's New
Alpert, Herb & His Orchestra	South Of The Border
Alpert, Herb & His Orchestra	Tijuana Taxi
Armstrong, Louis		C'est Si Bon
Armstrong, Louis		Hello Dolly
Armstrong, Louis		La Vie En Rose
Armstrong, Louis		What A Wonderful World
Armstrong, Louis		Sweet Adeline (Rag-Time Piano)
Arpin, John (Rag Time Piano)	Pearl Of The Harlem
Bacharach, Burt			Alfie
Baker, Tony & His Orchestra	Never On Sunday
Barber, Chris & His Jazz Band	Petite Fleur
Barber, Chris & His Jazz Band	Ice Cream
Barron, Kenny (Jazz Piano Trio)	Way's Cross Town
Basie, Count & His Orchestra	A Warm Breeze
Basie, Count & His Orchestra	After The Loving
Basie, Count & His Orchestra	Ain't Misbehavin'
Basie, Count & His Orchestra	All Of Me
Basie, Count & His Orchestra	Another Lazy Days
Basie, Count & His Orchestra	April In Paris
Basie, Count & His Orchestra	Basie Straight Ahead
Basie, Count & His Orchestra	Cute
Basie, Count & His Orchestra	Doin' Basie's Thing
Basie, Count & His Orchestra	Ev're Little Beat Helps
Basie, Count & His Orchestra	Fly Me To The Moon
Basie, Count & His Orchestra	Freckle Face
Basie, Count & His Orchestra	Have A Nice Day
Basie, Count & His Orchestra	Hay Burner
Basie, Count & His Orchestra	I Left My Heart In San-Francisco
Basie, Count & His Orchestra	In A Mellow Tone
Basie, Count & His Orchestra	It Had To Be You
Basie, Count & His Orchestra	It's Only A Papermoon
Basie, Count & His Orchestra	Katy
Basie, Count & His Orchestra	Nobody's Perfect
Basie, Count & His Orchestra	Pressure Cooker
Basie, Count & His Orchestra	Soft As Velvet
Basie, Count & His Orchestra	Sweet Georgia Brown
Basie, Count & His Orchestra	The Best Of Basie (Medley)
Basie, Count & His Orchestra	The Heat Is On
Basie, Count & His Orchestra	The Queen Bee
Basie, Count & His Orchestra	The Wind Machine
Basie, Count & His Orchestra	Told You So
Basie, Count & His Orchestra	Who's Sorry Now
Basie, Count & His Orchestra	Ya Gotta Try
Bassey, Shirley			Big Spender
Baxter, Les & His Orchestra	Unchained Melody
Beck, Gordon (Piano)		Spring Time
Beirach, Richie (Jazz Pno Trio)	Savannah's Dream
Belson, Louie & Orchestra	Concord Blues For Blue
Belson, Louie & Orchestra	Well Alright Then
Bennett, Tony & His Orchestra	I Left My Heart In San-Francisco
Bennett, Tony & His Orchestra	The Shadow Of Your Smile
Benson, George			Feel Like Making Love
Bianco, Matt			Get Out Of Your Lazy Bed
Bianco, Matt			Half A Minute
Bilk, Mr. Acker & His Orchestra	Live For Life
Bilk, Mr. Acker & His Orchestra	Meditation
Bilk, Mr. Acker & His Orchestra	Memories
Bilk, Mr. Acker & His Orchestra	Stranger On The Shore
Bilk, Mr. Acker & His Orchestra	Un Homme Et Une Femme
Bilk, Mr. Acker (Piano)		What Are You Doing The Rest  Of Your Life
Black, Miles			A Cafe In Paris
Black, Miles			Afternoon In Camel
Black, Miles			Another Blues
Black, Miles			Blues In B Sharp Minor
Black, Miles			Blues Waltz One
Black, Miles			Born To Sing The Blues
Black, Miles			Clippin' And Colodin'
Black, Miles			Cloudy Day Blues
Black, Miles			Flippin' And Flyin'
Black, Miles			Gone With The Dawn
Black, Miles			Good Cookin'
Black, Miles			Gypsy Blues
Black, Miles			Jigger Of Gin
Black, Miles			Johnny Man's Been Here
Black, Miles			Just Sue
Black, Miles			Lazy Evening Blues
Black, Miles			Less Than Greek
Black, Miles			My Thrill
Black, Miles			Rockin' My Soul
Black, Miles			Run Around
Black, Miles			Sadly You Sigh
Black, Miles			Scorpio
Black, Miles			Silent Shore
Black, Miles (Jazz Piano Trio)	A Foggy Day
Black, Miles (Jazz Piano Trio)	Coltrane Change Lesson
Black, Miles (Jazz Piano Trio)	I Concentrate On You
Black, Miles (Jazz Piano Trio)	I Didn't Know What Time It Was
Black, Miles (Jazz Piano Trio)	I Get A Kick Out Of You
Black, Miles (Jazz Piano Trio)	II-V-1-Licks Lesson
Black, Miles (Jazz Piano Trio)	Licks II-V-1 Improvisation Lesson
Black, Miles (Jazz Piano Trio)	Old Devil Moon
Black, Miles (Jazz Piano Trio)	Rhythm Changes Lesson
Black, Miles (Jazz Piano Trio)	The More I See You
Black, Miles (Piano)		Begin The Beguine
Black, Miles (Piano)		Blues Choruses Lesson
Black, Miles (Piano)		Blues For Dr. John
Black, Miles (Piano)		Boogie Blues
Black, Miles (Piano)		Evergreen
Black, Miles (Piano)		It's Alright With Me
Black, Miles (Piano)		Jay's Blues
Black, Miles (Piano)		Like Someone In Love
Black, Miles (Piano)		Old Devil Moon
Black, Miles (Piano)		Ray's Mood
Blake, Eubie (Rag Time Piano)	Charleston Rag
Blake, Eubie (Rag Time Piano)	The Chevy Chase
Blues Traveler			Crash Burn
Blues Traveler			Run Around
Bodewalt, Lampe J. (Rag Time)	Creole Belles
Boenig, Walt (Big Band)		Just In Time
Bolling, Claude (Jazz Pno Trio)	A La Francaise
Bolling, Claude (Jazz Pno Trio)	Bach To Swing
Bolling, Claude (Jazz Pno Trio)	Ballade
Bolling, Claude (Jazz Pno Trio)	Baroque In Rhythm
Bolling, Claude (Jazz Pno Trio)	Blue Kiss From Brasil
Bolling, Claude (Jazz Pno Trio)	Concertante
Bolling, Claude (Jazz Pno Trio)	Etude In Blue
Bolling, Claude (Jazz Pno Trio)	Fiancees En Folie
Bolling, Claude (Jazz Pno Trio)	Flute Fan
Bolling, Claude (Jazz Pno Trio)	Galop
Bolling, Claude (Jazz Pno Trio)	Garnerama
Bolling, Claude (Jazz Pno Trio)	Not This Time
Bolling, Claude (Jazz Pno Trio)	Romantique
Bonfa, Luiz			Manha De Carnaval
Bonfa, Louz			Black Orpheus
Booker Jr, James (Piano)	Corner Ursalines
Booker Jr, James (Piano)	Martin's Mambo
Booker Jr, James (Piano)	Pop's Dilemma
Books & Dunn			Boot Scootin' Boogie
Brass Blues Medley		Brass Blues Medley
Brubeck, Dave			Take Five
Brubeck, Dave (Jazz Piano Trio)	Can't Help Falling In Love With You
Brubeck, Dave (Piano)		Can't Help Falling In Love
Bryant, Ray (Jazz Piano Trio)	Bewitching Me
Burton, Lane			Too Late Now
Butler, Henry (Piano)		After Dinner Blues
Butler, Henry (Piano)		Backfield Blues
