Ambros, Wolfgang		Schifoarn (Ski Fahr'n)
Aniko				Lasst Uns Froh Und Munter Sein
Band Aid			Do They Know It's Christmas
Belafonte, Harry		Little Gray Donkey
Belafonte, Harry		Mary's Boy Child (Oh My Lord)
Berlin, Irving			White Christmas
Boney M.			Mary's Boy Child (Oh My Lord)
Boone, Pat			We Wish You A Merry Christmas
Bos, Werner			Christmas Jam
Carey, Mariah			Silent Night
Cash, Johnny			Silent Night
Cole, Nat "King"		Merry Christmas
Cole, Nat "King"		The Christmas Song
Crosby, Bing			White Christmas
Eagles, The			Please Come Home For Christmas
Emerson, Lake & Palmer		I Believe In Father Christmas
Feliciano, Jose			Feliz Navidad
Gabbai, Elisa			Winter In Kanada
Grand & Forsyth			Christmas Medley Nr. 1
Grand & Forsyth			Christmas Medley Nr. 2
Grand & Forsyth			It's Gonna Be A Cold Christmas
Grand & Forsyth			White Christmas
Haggard, Merle			Rudolph The Red Nosed Reindeer
Hayes, Mark			Carol Of The Bells
Humperdinck, Engelbert		Aba Heidschi Bumbeidschi
Jazz Rock Of Jazz (Kerstsong)	Chestnuts Roasting On A Open Fire
Jazz Rock Of Jazz (Kerstsong)	Christmas Is Coming
Jazz Rock Of Jazz (Kerstsong)	Christmas Time
Jazz Rock Of Jazz (Kerstsong)	Come All Ye Faithfull
Jazz Rock Of Jazz (Kerstsong)	Good King Wencelsas
Jazz Rock Of Jazz (Kerstsong)	Hallelujah
Jazz Rock Of Jazz (Kerstsong)	Hark! The Herald Angels Sing
Jazz Rock Of Jazz (Kerstsong)	Have Yourself A Merry Little Christmas
Jazz Rock Of Jazz (Kerstsong)	Holy Jazz Piano
Jazz Rock Of Jazz (Kerstsong)	Holy Night
Jazz Rock Of Jazz (Kerstsong)	I Saw Mommy Kissing Santa Klaus
Jazz Rock Of Jazz (Kerstsong)	I Wonder As I Wonder
Jazz Rock Of Jazz (Kerstsong)	Jingle Bells
Jazz Rock Of Jazz (Kerstsong)	Mister Santa Claus
Jazz Rock Of Jazz (Kerstsong)	O Little Town Of Bethlehem
Jazz Rock Of Jazz (Kerstsong)	Oh Christmas Tree
Jazz Rock Of Jazz (Kerstsong)	Oh Tannenbaum
Jazz Rock Of Jazz (Kerstsong)	Santa Claus Is Coming To Town
Jazz Rock Of Jazz (Kerstsong)	Silent Night
Jazz Rock Of Jazz (Kerstsong)	Skating Song
