Andre, Peter			Mysterious Girl
Aswad				Don't Turn Around
Aswad				Shine
Boothe, Ken			Everything I Own
Cliff, Jimmy			"Hakuna Matata (From ""The Lion King"")"
Cliff, Jimmy			I Can See Clearly Now
Cliff, Jimmy			Reggae Night
Cliff, Jimmy			Wild World
Gardiner, Boris			Cara Mia
Gardiner, Boris			I Wanna Wake Up With You
Gardiner, Boris			I'm Falling In Love
Gardiner, Boris			Wrong End Of The Rainbow
Grant, Eddy			Baby Come Back
Grant, Eddy			Gimme Hope Jo'anna
Grant, Eddy			I Don't Wanna Dance
Grant, Eddy			Walking On Sunshine
Kamoze, Ini			Here Comes The Hotstepper
Laid Back			Ain't No Sunshine
Laid Back			Sunshine Reggae
Marley, Bob & The Wailers	Bob Marley Medley
Marley, Bob & The Wailers	Could You Be Loved
Marley, Bob & The Wailers	Exodus
Marley, Bob & The Wailers	Get Up Stand Up
Marley, Bob & The Wailers	I Shot The Sheriff
Marley, Bob & The Wailers	Iron Lion Zion
Marley, Bob & The Wailers	Is This Love
Marley, Bob & The Wailers	Jammin'
Marley, Bob & The Wailers	No Woman No Cry
Marley, Bob & The Wailers	Punky Reggae Party
Marley, Bob & The Wailers	Stir It Up
Marley, Bob & The Wailers	Three Little Birds
Marley, Bob & The Wailers	Waiting In Vain
Nash, Johnny			I Can See Clearly Now
Nash, Johnny			Rock It Baby (Baby We've Got A Date)
Onbekende (Reggae)		Karl Mai
Onbekende (Reggae)		Lasson
Onbekende (Reggae)		Rastamon
Onbekende (Reggae)		Reggae Medley
Onbekende (Reggae)		Reggae Nr. 1
Onbekende (Reggae)		Reggae Nr. 2
Priest, Maxi			Close To You
Steely & Clevie			Sweet Emotions
Third World			Now That We Found Love
